# ICU base param set 1: Stanford parameters + ICU info + case delay params, PHAC updated July 13, 2020,,,,,
# Revised 13 July (deaths from severe cases w/o hospital),,,,,
# Adding testify parameters
Symbol,Value,Parameter,notes,,
beta0,1,Baseline (non-intervention) transmission across categories,NA?,,
Ca,2/3,relative asymptomatic transmission (or contact),NA?,,
Cp,1,relative presymptomatic transmission (or contact),NA?,,
Cm,1,relative mildly symptomatic transmission (or contact),NA?,,
Cs,1,relative severely symptomatic transmission (or contact),NA?,,
alpha,0.39,Fraction of cases asymptomatic,agreed,,
sigma,1/3.3,1/time in exposed class,"old=5.2, infered from latent period",,
gamma_a,1/7,1/time for asymptomatic recovery,NA?,,
gamma_m,1/7,1/time for mildly symptomatic recovery,NA?,,
gamma_s,1/5.72,1/time for severely symptomatic transition to hospital/death,NA?,,
gamma_p,1/1.2,1/time in pre-symptomatic class,"old=2, communication with JD",,
rho,1/10,1/time in hospital (acute care),NA?,,
delta,0,Fraction of acute-care cases that are fatal,NA?,,
mu,0.956,Fraction of symptomatic cases that are mild,NA?,,
N,1.00E+06,Population size,NA?,,
E0,5,Initial number exposed,NA?,,
nonhosp_mort,0,probability of mortality without hospitalization,NA?,,
iso_m,0,Relative self-isolation/distancing of mild cases,NA?,,
iso_s,0,Relative self-isolation/distancing of severe cases,NA?,,
phi1,0.76,Fraction of hospital cases to acute care,NA?,,
phi2,0.26,Fraction of ICU cases dying,we don't know the % acute care going to ICU ,old=1/2
psi1,1/20,Rate of ICU back to acute care,NA?,,
psi2,1/8 ,Rate of ICU to death,NA?,,
psi3,1/5 ,Rate of post-ICU to discharge,NA?,,
c_prop,1/10,fraction of incidence reported as positive tests,NA?,,
c_delay_mean,11,average delay between incidence and test report,NA?,,
c_delay_cv,0.25,coefficient of variation of testing delay,NA?,,
proc_disp,0,dispersion parameter for process error (0=demog stoch only),NA?,,
zeta,0,phenomenological heterogeneity parameter,NA?,,
W_asymp,0.1, asymptomatic weights,,,
P_S,0, probability of positive in S,,,
P_E,1, probability of positive in E,,,
P_Ia,1,probability of positive in Ia,,,
P_Ip,1,probability of positive in Ip,,,
P_Im,1,probability of positive in Im,,,
P_Is,1,probability of positive in Is,,,
P_H,1, probability of positive in H,,,
P_H2,1, probability of positive in H2,,,
P_ICUs,1, probability of positive in ICUs,,,
P_ICUd,1,probability of positive in ICUd,,,
P_R,0,probability of negative in R,,,
omega,0.25,1/waiting time for tests to be returned,,,
testing_intensity,0.002,tests per capita per day
iso_t,0.6,Relative self-isolation/distancing of tested-positives,NA?
