date,report,death,R,S,E,I,H,ICU,hosp,X,D,foi,incidence,cumRep
2021-06-04,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,3
2021-06-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2021-06-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2021-06-07,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,5
2021-06-08,4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,9
2021-06-09,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,12
2021-06-10,5,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,17
2021-06-11,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,17
2021-06-12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2021-06-13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
2021-06-14,19,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,54
2021-06-15,16,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,70
2021-06-16,16,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,86
2021-06-17,23,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,109
2021-06-18,29,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,138
2021-06-19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
2021-06-20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
2021-06-21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
2021-06-22,5,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,178
2021-06-23,9,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,187
2021-06-24,10,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,197
2021-06-25,26,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,223
2021-06-26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248
2021-06-27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265
2021-06-28,14,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,279
2021-06-29,12,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,NA,291
2021-06-30,11,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,302
2021-07-01,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318
2021-07-02,11,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,329
2021-07-03,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354
2021-07-04,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367
2021-07-05,7,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA,NA,374
2021-07-06,6,NA,NA,NA,NA,NA,NA,3,11,NA,NA,NA,NA,380
2021-07-07,13,NA,NA,NA,NA,NA,NA,2,12,NA,NA,NA,NA,393
2021-07-08,6,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,399
2021-07-09,7,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,406
2021-07-10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412
2021-07-11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414
2021-07-12,1,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,415
2021-07-13,3,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,418
2021-07-14,4,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,422
2021-07-15,6,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,428
2021-07-16,13,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,441
2021-07-17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448
2021-07-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451
2021-07-19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459
2021-07-20,5,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,464
2021-07-21,3,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,467
2021-07-22,9,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA,NA,476
2021-07-23,20,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA,NA,496
2021-07-24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505
2021-07-25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507
2021-07-26,6,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,513
2021-07-27,7,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,520
2021-07-28,5,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,525
2021-07-29,5,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,530
2021-07-30,7,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,537
2021-07-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540
2021-08-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543
2021-08-02,3,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,546
2021-08-03,2,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,548
2021-08-04,1,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,549
2021-08-05,4,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,553
2021-08-06,2,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,555
2021-08-07,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560
2021-08-08,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564
2021-08-09,4,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,568
2021-08-10,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,571
2021-08-11,0,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,571
2021-08-12,6,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,577
2021-08-13,1,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,578
2021-08-14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587
2021-08-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587
2021-08-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588
2021-08-17,9,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,597
2021-08-18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602
2021-08-19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605
2021-08-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605
2021-08-21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606
2021-08-22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606
2021-08-23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607
2021-08-24,1,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,608
2021-08-25,0,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,608
2021-08-26,1,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,609
2021-08-27,3,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,612
2021-08-28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613
2021-08-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616
2021-08-30,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,616
2021-08-31,2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,618
2021-09-01,1,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,619
2021-09-02,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,619
2021-09-03,0,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,619
2021-09-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619
2021-09-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619
2021-09-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620
2021-09-07,2,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,622
2021-09-08,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,622
2021-09-09,2,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,624
2021-09-10,2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,626
2021-09-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626
2021-09-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627
2021-09-13,6,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,633
2021-09-14,2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,635
2021-09-15,3,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,638
2021-09-16,1,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,639
2021-09-17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645
2021-09-18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647
2021-09-19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651
2021-09-20,7,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,658
2021-09-21,4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,662
2021-09-22,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,669
2021-09-23,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,676
2021-09-24,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,679
2021-09-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680
2021-09-26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684
2021-09-27,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,685
2021-09-28,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,685
