date,report,death,R,S,E,I,H,ICU,hosp,X,D,foi,incidence,cumRep
2021-06-01,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
2021-06-02,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
2021-06-03,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
2021-06-04,3,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
2021-06-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-06,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-07,2,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
2021-06-08,4,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
2021-06-09,3,0,0,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
2021-06-10,5,0,0,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA
2021-06-11,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
2021-06-12,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-13,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-14,19,0,2,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
2021-06-15,16,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
2021-06-16,16,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
2021-06-17,23,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
2021-06-18,29,0,4,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA
2021-06-19,7,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-20,8,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-21,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-22,5,0,14,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA
2021-06-23,9,0,11,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA
2021-06-24,10,1,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA
2021-06-25,26,0,13,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA
2021-06-26,25,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-27,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
