REPORT_DATE_RECEIVED5,n,,Date,Cases,ICU,Hosp,,,,,
2021-06-04,3,,01-Jun,0,0,0,,,,,
2021-06-07,2,,02-Jun,0,0,0,,,,,
2021-06-08,4,,03-Jun,0,0,0,,,,,
2021-06-09,3,,04-Jun,3,0,0,,,,,
2021-06-10,5,,05-Jun,0,NA,NA,,,,,
2021-06-12,9,,06-Jun,0,NA,NA,,,,,
2021-06-13,9,,07-Jun,2,0,0,,,,,
2021-06-14,19,,08-Jun,4,0,0,,,,,
2021-06-15,16,,09-Jun,3,1,2,,,,,
2021-06-16,16,,10-Jun,5,0,2,,,,,
2021-06-17,23,,11-Jun,0,0,1,,,,,
2021-06-18,29,,12-Jun,9,NA,NA,,,,,
2021-06-19,7,,13-Jun,9,NA,NA,,,,,
2021-06-20,8,,14-Jun,19,0,1,,,,,
2021-06-21,20,,15-Jun,16,0,1,,,,,
2021-06-22,5,,16-Jun,16,0,1,,,,,
2021-06-23,9,,17-Jun,23,0,1,,,,,
2021-06-24,10,,18-Jun,29,0,2,,,,,
2021-06-25,26,,19-Jun,7,NA,NA,,,,,
2021-06-26,25,,20-Jun,8,NA,NA,,,,,
2021-06-27,17,,21-Jun,20,NA,NA,,,,,
2021-06-28,14,,22-Jun,5,0,3,,,,,
2021-06-29,12,,23-Jun,9,0,3,,,,,
2021-06-30,11,,24-Jun,10,0,3,,,,,
2021-07-01,16,,25-Jun,26,0,4,,,,,
2021-07-02,11,,26-Jun,25,NA,NA,,,,,
2021-07-03,25,,27-Jun,17,NA,NA,,,,,
2021-07-04,13,,28-Jun,14,0,6,,,,,
2021-07-05,7,,29-Jun,12,1,9,,,,,
2021-07-06,6,,30-Jun,11,2,8,,,,,
2021-07-07,13,,01-Jul,16,NA,NA,,,,,
2021-07-08,6,,02-Jul,11,2,6,,,,,
2021-07-09,7,,03-Jul,25,NA,NA,,,,,
2021-07-10,6,,04-Jul,13,NA,NA,,,,,
2021-07-11,2,,05-Jul,7,3,8,,,,,
2021-07-12,1,,06-Jul,6,3,11,,,,,
2021-07-13,3,,07-Jul,13,2,12,,,,,
2021-07-14,4,,08-Jul,6,1,7,,,,,
2021-07-15,6,,09-Jul,7,2,6,,,,,
